GEOID,Predicted_Weighted_Trips
36005000100,563.7946100122122
36005000200,522.8652044606147
36005000400,640.8422809546745
36005001600,681.1639306089711
36005001901,593.3773440121071
36005001902,554.1660742493885
36005001903,455.2942484614355
36005001904,427.9117447633522
36005002001,593.8536743971102
36005002002,670.6653160441999
36005002300,662.780832162385
36005002400,431.97419546119204
36005002500,738.3983455217291
36005002701,609.6200338051648
36005002702,782.3349026848557
36005002800,753.1211354370007
36005003100,625.5486776511228
36005003300,559.6646795743263
36005003500,605.4421124582543
36005003700,396.42612780289585
36005003800,423.92006559032393
36005003900,793.7460137164154
36005004001,453.79109039644214
36005004100,751.2525849926411
36005004200,1084.5637084883926
36005004300,1033.8738313242832
36005004400,717.7143493173496
36005004600,612.137557497634
36005004800,707.1743812301522
36005005001,632.9123792584464
36005005002,1156.1314160047054
36005005100,1029.3172316957164
36005005200,531.9321635934521
36005005300,588.9859079799728
36005005400,838.2257321279709
36005005600,569.6408844097678
36005005902,604.9208963099785
36005006000,433.7554002670768
36005006100,812.0851447194076
36005006200,801.4693436411158
36005006301,1057.148020040019
36005006302,455.20301813123604
36005006400,580.45960299888
36005006500,1218.9865826366322
36005006700,925.381867563847
36005006800,644.9024118459448
36005006900,726.9319436542844
36005007000,676.4103260428329
36005007100,718.5727629613231
36005007200,809.1415713414123
36005007300,673.0136511152156
36005007400,507.29188579430456
36005007500,759.83616862764
36005007600,744.2422566181865
36005007700,539.9796908387749
36005007800,706.7068524789674
36005007900,823.2917371337554
36005008300,885.0937821958929
36005008400,501.8308765565507
36005008500,871.6599927421487
36005008600,591.1174176012248
36005008700,748.2565282970729
36005008900,761.2899964170857
36005009000,652.2956775413554
36005009200,899.4056787019564
36005009301,814.2722081698461
36005009302,452.7582031475789
36005009600,827.653882593394
36005009800,516.5026710233363
36005011000,427.9117447633522
36005011502,605.5632087320731
36005011701,481.51922845345734
36005011702,434.5772007569853
36005011800,588.1436088647868
36005011900,950.5252350735957
36005012101,634.4912477388084
36005012102,765.8422492501885
36005012300,679.9260534499298
36005012500,650.5132791706122
36005012701,579.8389475364773
36005012901,923.5818418255235
36005013000,468.5552039512868
36005013100,765.8526280771513
36005013200,736.0686686246181
36005013300,709.4488977337044
36005013500,589.2629826916138
36005013800,467.35084836085554
36005014100,954.2139680523984
36005014300,574.9064041283237
36005014400,717.2005504764496
36005014500,946.0366895800745
36005014701,710.2661508993056
36005014702,685.7698673052495
36005014900,643.7475860004084
36005015100,700.897467695313
36005015200,584.1930907126671
36005015300,606.0785960517509
36005015500,740.6418627185426
36005015700,708.7361851784749
36005015800,467.9519122683104
36005015900,846.7577608925164
36005016000,501.6286941373988
36005016100,1646.1910514272802
36005016200,453.9842673742718
36005016300,441.34648260757785
36005016400,482.7528735813557
36005016500,488.1965040742961
36005016600,472.8323111081896
36005016700,751.152848944446
36005016900,507.305572168564
36005017100,430.1221260277458
36005017300,705.6139553177957
36005017500,784.7491875002621
36005017701,771.7925513223014
36005017702,888.5272632173142
36005017901,770.6057543567014
36005017902,589.1447741092769
36005018101,644.0101545533182
36005018102,756.9154717851686
36005018301,601.2552435395568
36005018302,503.60178445454983
36005018400,586.7979514804407
36005018501,848.4972604808338
36005018502,700.8634186793865
36005018900,838.4011519063348
36005019300,667.4166831884858
36005019400,431.9668641038577
36005019500,961.5347422035526
36005019700,1155.8473382135044
36005019900,895.6253770766627
36005020000,1094.4317270763943
36005020100,598.0866321860965
36005020200,593.4645356644563
36005020400,554.1181144289613
36005020501,861.1226895363206
36005020502,491.6331977587296
36005020601,568.1319534096909
36005020900,846.648801044959
36005021001,787.4118137761641
36005021002,744.3546963468981
36005021100,773.5495246609853
36005021200,610.2243273872684
36005021301,561.9334166635695
36005021302,728.5035508261133
36005021501,753.0624060724078
36005021502,852.9252357745136
36005021601,671.9741814140706
36005021602,708.8562203171105
36005021700,759.1061462464265
36005021800,691.2185913005991
36005021900,680.8493801961346
36005022000,551.9954196118142
36005022101,873.6288885473293
36005022102,849.8171270196881
36005022200,953.8303220729676
36005022300,958.7922776886862
36005022401,804.8646576218869
36005022403,747.3639816353351
36005022404,871.0144820735768
36005022500,906.9461872224109
36005022701,972.3211199167187
36005022702,675.2276415944687
36005022703,441.2370523290179
36005022800,642.4065792103986
36005022901,725.0847133326571
36005022902,560.2432761354378
36005023000,524.4157829860967
36005023100,742.1395673196204
36005023200,586.6669979347371
36005023301,629.4462197426552
36005023302,555.0136940175225
36005023501,885.7361798443957
36005023502,774.7137938217699
36005023600,494.2214120514149
36005023702,2725.5109844147614
36005023703,1268.122013314452
36005023704,682.0648007251071
36005023800,526.5309790526806
36005023900,1571.3951490723512
36005024000,551.3139427857881
36005024100,1373.4422235438778
36005024300,784.1447554733751
36005024400,465.34682488817066
36005024501,609.9296724279758
36005024502,676.8045355163879
36005024600,425.6864377056221
36005024700,455.988447272254
36005024800,630.0140947573409
36005024900,430.1221260277458
36005025000,491.1212981006285
36005025100,920.8142026196155
36005025200,487.0007469161216
36005025300,794.9621489630729
36005025400,468.2739582194751
36005025500,716.1834037563287
36005025600,498.71831498670446
36005025700,481.08316768633574
36005026100,452.64915548022606
36005026300,782.8204904878212
36005026400,704.6913803961645
36005026500,878.9435877585106
36005026601,590.8516685453354
36005026602,819.0024173067205
36005026701,542.8485627044347
36005026702,688.8737775158992
36005026900,648.457162823086
36005027300,707.0075952201616
36005027401,570.011946730456
36005027402,493.7930457151676
36005027600,511.6527196344672
36005027700,641.3522690814092
36005027900,907.0179172756214
36005028100,511.1035042354694
36005028300,1577.2686823462257
36005028400,536.4382159655353
36005028500,595.1308427315126
36005028600,463.1411335282981
36005028700,626.7036015713122
36005028800,489.42635742226923
36005028900,903.4834954134461
36005029301,370.53774559967064
36005029302,543.7557141174204
36005029500,728.9521619296812
36005029600,585.3564763642172
36005029700,556.9439564069095
36005030000,811.0176634617472
36005030100,411.40540657765615
36005030201,522.2171527115917
36005030202,662.564603493413
36005030701,566.2452204153949
36005030900,470.44576200479963
36005031000,652.5155361432287
36005031200,492.24866607648454
36005031400,411.0773947431038
36005031600,421.47960428652226
36005031800,408.3269696737185
36005031900,464.93073960171404
36005032300,566.3192471574582
36005032400,544.5241648085774
36005032600,539.8073560980822
36005032800,623.5294447773621
36005033000,987.394330544905
36005033201,635.0639797790516
36005033202,614.5067772114639
36005033400,488.1398425023485
36005033500,415.14928391921376
36005033601,704.4344197842686
36005033602,537.4746254671335
36005033700,479.9508280533028
36005033801,487.37139980370256
36005033802,860.0482048001334
36005034000,646.5387724962976
36005034200,527.6098552688686
36005034300,431.3368455934361
36005034400,497.04116156680857
36005034500,519.4271525284769
36005034800,736.2880048896467
36005035000,486.1110633944286
36005035100,477.1833387221348
36005035600,476.05123537636064
36005035800,724.1745679096747
36005035900,655.2093284819039
36005036000,506.8559358093986
36005036100,653.4067026170949
36005036300,893.703783487393
36005036400,626.1206216445095
36005036501,997.0540725414618
36005036502,601.9553940010037
36005036700,598.5933928289833
36005036800,581.8389715519919
36005036901,871.6821584595154
36005036902,504.139233076688
36005037000,454.04405175770233
36005037100,691.6089938489216
36005037200,460.7019360818971
36005037300,841.4724904872402
36005037400,670.5115378265983
36005037504,737.7905465887065
36005037600,454.3583097745492
36005037800,593.5301844581263
36005037900,959.0405471900347
36005038000,725.2764534742726
36005038100,775.648359943432
36005038200,484.47843312359066
36005038301,732.1903460139745
36005038303,569.9679795940477
36005038304,719.025585645121
36005038500,794.3532200127331
36005038600,944.7584068509459
36005038700,980.7221984148439
36005038800,482.87618244945304
36005038900,891.2359356856201
36005039000,545.5448302382879
36005039100,857.7347449329715
36005039200,449.92881225255877
36005039300,1120.2872319620053
36005039400,662.5806275769054
36005039500,760.7402394192438
36005039600,589.7462272385246
36005039700,696.0463056458875
36005039800,557.657031110914
36005039901,1190.788563443201
36005039902,1095.7241948366695
36005040100,831.5588191079295
36005040302,593.6267940273027
36005040303,622.9080131696209
36005040304,876.1501787093673
36005040400,552.4188238513183
36005040501,568.8279800944745
36005040502,690.823756615635
36005040600,595.2561455919508
36005040701,584.7833347228772
36005040702,769.0897643518393
36005040800,711.1012922628726
36005040900,596.5795977961145
36005041100,608.9077096926911
36005041300,848.1865616793115
36005041400,584.1421707364813
36005041500,695.7362568679516
36005041800,681.6537522263163
36005041900,831.6408280933769
36005042000,715.5096849353764
36005042100,979.779786982152
36005042200,631.607587936706
36005042300,578.0668365186021
36005042400,469.54712326035104
36005042500,954.4797253770764
36005042600,702.3874458733567
36005042800,390.7541879770477
36005042901,559.9610663888164
36005042902,624.1245732358458
36005043000,470.35049132107576
36005043101,861.4855666988212
36005043102,775.4152721534331
36005043400,645.5399162699409
36005043501,481.5939774137049
36005043502,436.82201248333115
36005043503,445.91781582324444
36005043600,455.7461233273902
36005044200,621.0302026769145
36005044400,533.6362655092408
36005044800,419.29566032704054
36005044901,427.1654955378239
36005044902,456.4683661697339
36005045101,472.529983771527
36005045102,413.35204486157215
36005045600,528.222028882233
36005045800,674.006478835209
36005046000,556.713678742313
36005046203,839.9784964175276
36005046204,601.485619412169
36005046205,1300.7887329532102
36005046206,528.6323961436623
36005046207,2800.2877695459165
36005046208,671.7981990302034
36005046209,747.9436284115308
36005048401,634.0713467569553
36005048402,432.34392503281595
36005050400,443.6262611091039
36005051601,591.1448756662567
36005051602,430.1221260277458
36047000100,624.2289216142266
36047000200,1163.1472430718181
36047000301,443.5183562102306
36047000501,605.2167793341533
36047000502,547.7837957012041
36047000700,428.1334814827333
36047000900,1386.7911445761513
36047001100,2369.401820280432
36047001300,560.7351565800467
36047001501,559.5120493537545
36047001502,2225.1049193197728
36047001801,675.2251115492882
36047001802,453.5407857752744
36047001803,447.1762177241918
36047001804,434.5772007569853
36047002000,524.8441529834024
36047002100,1114.4415432932356
36047002200,722.3645950078461
36047002300,553.2588342800447
36047002901,543.8064789522077
36047003000,395.06608965030006
36047003101,436.8424440055335
36047003102,439.0784198011579
36047003300,886.672216181304
36047003400,505.76778517345025
36047003500,1915.7803178857066
36047003600,497.3017061004953
36047003700,3633.130917490823
36047003800,370.1368481723558
36047003900,576.9453340119071
36047004100,449.9973025938521
36047004300,499.136777548655
36047004400,413.55035436507234
36047004500,437.22857206282623
36047004600,364.61363694329697
36047004700,376.2005639169289
36047004900,378.3483992977201
36047005000,417.713170967743
36047005100,398.92263129358764
36047005201,476.28854434721967
36047005202,437.0113201934269
36047005301,482.3671662151631
36047005302,316.77281654810537
36047005303,279.06627805158195
36047005400,557.3155745547539
36047005601,468.8673855439339
36047005602,460.2502620190891
36047005800,758.5814506227555
36047005900,471.3692984078356
36047006000,518.7570755146213
36047006200,502.90729516339974
36047006300,346.84265923073764
36047006400,539.0987845380209
36047006500,495.4987035025387
36047006600,573.4232871437332
36047006700,397.4091743080617
36047006800,667.9906954378297
36047006901,372.414280620254
36047006902,339.0522761587515
36047007000,502.65151631156175
36047007100,584.8109735369885
36047007200,485.9161955010002
36047007400,663.334195541091
36047007500,470.9881889827539
36047007600,610.860772248655
36047007700,568.3018837537938
36047007800,654.1141448076198
36047008000,520.9756642140497
36047008200,614.3004231357137
36047008400,713.5447885380374
36047008500,726.1725946212867
36047008600,430.1221260277458
36047008800,497.5235319315848
36047009001,478.28076330465035
36047009002,537.6130994142104
36047009201,423.7832731141243
36047009202,497.5516509952381
36047009401,466.545812735289
36047009402,490.7203392505886
36047009600,626.5404742492688
36047009800,766.8427632525404
36047010000,649.7041770479799
36047010100,765.7418562624612
36047010200,619.203753452561
36047010401,544.7351391979164
36047010402,584.9367851913164
36047010601,499.1982072102997
36047010602,563.6986751177226
36047010801,468.62854044400495
36047010802,474.43440862666296
36047011000,531.1812199825233
36047011200,739.4818422624351
36047011400,637.3053438669647
36047011600,538.2479055359333
36047011700,514.7648180868533
36047011800,755.3958435444517
36047011901,617.8500615543026
36047011902,850.7677929481845
36047012000,936.6708269020125
36047012100,536.4070228125759
36047012200,643.9785060652752
36047012600,575.7207771574381
36047012700,658.4324102260455
36047012801,522.2750630630503
36047012901,745.8973317988911
36047012902,464.89787647455165
36047013000,723.5143775244086
36047013100,479.42493454064805
36047013200,483.940428864112
36047013300,461.18128560657965
36047013400,595.1751156100355
36047013500,390.9752474594623
36047013600,533.7702858291631
36047013700,511.16853197777226
36047013800,548.4457015746001
36047013900,459.1265383339839
36047014000,464.63940156515304
36047014101,347.4583822598046
36047014102,468.50353575859435
36047014200,567.6556624533983
36047014300,536.1524470389896
36047014500,577.4584509791484
36047014700,371.32192206546256
36047014800,406.98385405528563
36047014901,341.8323784164241
36047014902,425.83438480677574
36047015000,461.8019097267638
36047015100,424.65457004950423
36047015200,460.713919679917
36047015300,470.8342065906965
36047015400,474.35747694535746
36047015500,378.0915996321704
36047015700,471.74775811905045
36047015900,501.20205746440354
36047016000,1002.4719798684669
36047016100,485.6802547525563
36047016200,450.3780387821751
36047016300,458.70536625357767
36047016400,386.99137421137306
36047016500,717.401674687133
36047016600,415.80993946198544
36047016700,466.0887525117424
36047016800,388.33715378544696
36047016900,499.68370710221546
36047017000,545.5900455433577
36047017100,462.2573070450896
36047017200,545.5543760439331
36047017400,418.49754978651225
36047017500,445.91781582324444
36047017600,472.5594081778677
36047017700,536.7939384011379
36047017800,623.7568552827678
36047017900,544.390131423805
36047018000,552.4983149269613
36047018100,452.7569321500181
36047018200,526.154352585158
36047018300,379.1287592332035
36047018400,438.4253366978167
36047018501,587.3488844134258
36047018600,427.60483078220057
36047018700,368.26213969280116
36047018800,547.553351508118
36047019000,668.116964385699
36047019100,444.94929142840925
36047019200,660.1673807663775
36047019300,699.6037081260425
36047019400,570.9094016438931
36047019500,469.3280522141542
36047019600,578.6255924493896
36047019700,506.09939565916494
36047019800,489.8932973492513
36047019900,648.6473552694406
36047020000,517.3624732234302
36047020100,463.9769604983109
36047020200,421.87825123901524
36047020300,473.649769357596
36047020400,380.3318545907602
36047020500,463.31349628925113
36047020600,474.572159009704
36047020700,429.18183491597154
36047020800,483.58420204451033
36047021000,553.0163299019723
36047021100,702.1921676320926
36047021200,597.8350765167297
36047021300,562.1303471743389
36047021400,566.00020033444
36047021500,536.3975071339314
36047021600,599.1791161936071
36047021700,538.1197066373539
36047021800,516.6042813222208
36047021900,538.756747867844
36047022000,894.0290029440316
36047022100,527.4141135304965
36047022200,743.3894733108219
36047022400,718.8332495305918
36047022600,638.4854129339155
36047022700,654.491393991468
36047022800,973.3927075548957
36047022900,466.161434817222
36047023000,657.9808945353795
36047023100,439.7490796478716
36047023200,750.3014561276815
36047023300,685.1531595496489
36047023400,737.8242648379994
36047023500,570.2546600242185
36047023600,816.0925823745456
36047023800,670.3936552296243
36047024000,710.2086202114806
36047024100,745.7611824033291
36047024200,672.7451771338037
36047024300,545.0865860654385
36047024400,544.5141635433166
36047024500,621.2041088697331
36047024600,524.0009269721893
36047024700,1200.6685021194385
36047024800,562.3390969409087
36047024900,567.5582504599759
36047025000,536.0842393234517
36047025100,554.8850642138855
36047025200,740.9439994033938
36047025300,541.9943172416747
36047025400,512.4127500593945
36047025500,644.676371030598
36047025600,498.51464987167134
36047025700,521.4056338243655
36047025800,543.2729001324673
36047025901,435.6052747092212
36047025902,605.2664708317425
36047026000,559.3275287244385
36047026100,601.2785051715048
36047026200,458.3797011172747
36047026300,449.1093034096223
36047026400,655.6054247602124
36047026500,533.728612509324
36047026600,551.7034345799831
36047026700,460.51549827700217
36047026800,566.1174113257225
36047026900,558.5122328031129
36047027000,489.84452899995745
36047027100,595.4778364483916
36047027200,530.3965059284831
36047027300,566.1922434447092
36047027400,532.219566267111
36047027500,617.2462746727965
36047027600,776.1964924935135
36047027700,591.3121860551491
36047027800,695.7422675647429
36047027900,561.7780045223914
36047028000,477.0892530107676
36047028100,737.0929607655819
36047028200,525.274382747551
36047028300,595.1629590310383
36047028400,644.5872502482503
36047028501,498.43009456716044
36047028502,581.1031809334694
36047028600,637.8369059082372
36047028700,592.9554296514276
36047028800,622.2105512284829
36047028900,668.8319863567942
36047029000,757.5868459177183
36047029100,506.92271594777907
36047029200,513.3306281462651
36047029300,560.7723878119514
36047029400,1016.783258175931
36047029500,531.1412301641789
36047029600,776.7484773508655
36047029700,567.0496599732932
36047029800,711.2895681334819
36047029900,549.6288900752492
36047030000,710.0130941287749
36047030100,552.2569826792134
36047030200,546.9070736346156
36047030300,685.2501659168446
36047030400,751.3243421361594
36047030500,810.7216602889806
36047030600,466.60791881274287
36047030700,765.0883600409297
36047030800,518.8314981715662
36047030900,610.916831395963
36047031100,492.21836994634685
36047031300,587.1439128708544
36047031401,548.8791407299515
36047031402,427.9117447633522
36047031500,623.0167735576755
36047031701,577.4642778474042
36047031702,545.8470975870935
36047031900,530.6295124190673
36047032100,605.7413162662475
36047032300,683.7469871092579
36047032500,787.9111552772287
36047032600,1186.1806281987936
36047032700,833.4762984375927
36047032800,604.0122794142875
36047032900,641.0901478591917
36047033000,670.5053246412243
36047033100,563.4559594684256
36047033300,537.4341783042187
36047033500,488.73366797889304
36047033600,556.4218663611866
36047033701,455.31841025396415
36047033702,436.33396328225336
36047033900,704.4987300349107
36047034000,495.71337631989604
36047034100,448.7000510975904
36047034200,898.7515121665004
36047034300,607.1155461244018
36047034500,473.8384478849269
36047034700,577.8562766200577
36047034800,765.0320830579716
36047034901,544.2417992908746
36047034902,571.2978870233021
36047035000,689.746124450469
36047035101,623.418776178893
36047035102,616.498480287528
36047035200,511.5891531210954
36047035301,513.8500019778373
36047035302,480.0902678139347
36047035400,788.7487399743061
36047035500,659.0781613102655
36047035601,507.4365149456488
36047035602,765.6839663543146
36047035701,497.16702447148015
36047035702,452.8637471151995
36047035900,809.5332069709967
36047036001,739.7976925179416
36047036002,761.6643009165938
36047036100,606.5382831674287
36047036200,926.0013470439384
36047036300,690.9748779288161
36047036400,525.828122638396
36047036501,538.9566984242124
36047036502,611.470196104385
36047036600,635.0777188535305
36047036700,622.9386187091025
36047036900,767.6298022749008
36047037000,652.4073856668315
36047037100,570.8046337248597
36047037300,678.1677356491639
36047037401,613.898491804001
36047037402,850.0164486700471
36047037500,592.4898612083757
36047037700,628.6569150332597
36047037900,581.1694857997891
36047038100,604.9479766301414
36047038200,668.8153811575833
36047038300,620.6473880437918
36047038500,484.4458391414237
36047038600,556.7082485111763
36047038700,655.1756452591576
36047038800,612.1845883654792
36047038900,794.2913199485685
36047039000,513.5659891182653
36047039100,597.1313604870379
36047039200,694.2950587158605
36047039300,538.2744874185407
36047039400,530.9758042474332
36047039500,649.5422694886985
36047039600,449.1826417641772
36047039700,592.2266718768462
36047039800,544.7764418659416
36047039900,547.0759580890502
36047040000,589.0365078460804
36047040100,583.6813020441884
36047040200,572.4741052762745
36047040300,615.7970175869544
36047040400,484.5923816318184
36047040500,535.4337528736439
36047040600,499.961574062886
36047040700,427.9117447633522
36047040800,511.81638508538583
36047040900,562.870186359677
36047041000,442.9174249121232
36047041100,496.62322686847506
36047041200,569.984320612988
36047041300,501.6002056060129
36047041401,428.86427894710954
36047041402,476.7586958350021
36047041500,520.9233607668026
36047041600,446.3228616052873
36047041700,554.0776680566236
36047041800,514.1383323320947
36047041900,500.5024384728933
36047042000,558.055813955234
36047042100,574.0261169360316
36047042200,569.4706178483129
36047042300,529.0982238344476
36047042400,566.875464194004
36047042500,658.1222654820058
36047042600,616.5695455188422
36047042700,631.7414137006888
36047042800,577.7387037379025
36047042900,620.3468822035693
36047043000,596.8103460084359
36047043100,737.52689457152
36047043200,540.5148753137487
36047043300,605.652244772557
36047043400,538.4357933922583
36047043500,579.8127908102172
36047043600,582.1872316525156
36047043700,607.2543506355274
36047043800,619.1764174423847
36047043900,1046.6412314594536
36047044000,468.67051861017353
36047044100,603.3189406576834
36047044200,476.4912843623558
36047044300,623.7719322283741
36047044400,482.45522401535464
36047044500,616.8040806358058
36047044600,580.816004678123
36047044700,1236.0899356995446
36047044800,476.26234334127673
36047044901,589.5609347361591
36047044902,466.0706445771973
36047045000,408.7519236855583
36047045200,467.13935248845416
36047045300,635.5469002348915
36047045400,552.2333532958564
36047045600,541.6824723174815
36047045800,444.2201945569532
36047046000,531.0206778178147
36047046201,545.7903817691528
36047046202,494.2983250901734
36047046400,511.5835712440296
36047046800,466.7370503226129
36047047000,476.51260815938855
36047047200,523.9532872495649
36047047400,513.5044437245708
36047047600,611.5286970671443
36047047700,433.9813785863111
36047047800,704.6281035157725
36047048000,609.7476301927495
36047048100,492.00042066307066
36047048200,717.252736290421
36047048400,600.2588395152153
36047048500,551.2516528428098
36047048600,615.9923261780925
36047048800,584.5297492423181
36047048900,560.6866366699707
36047049000,589.90205534889
36047049100,1141.2091351070376
36047049200,612.2791309904745
36047049301,490.31214975900525
36047049302,583.3538103572738
36047049400,589.7162784660853
36047049500,509.14723268189596
36047049600,752.6761821986173
36047049700,501.70522647106594
36047049800,633.2823894276258
36047049900,476.30495981420944
36047050001,418.50064511406873
36047050002,375.9914236333049
36047050100,484.0019876659947
36047050202,422.30915951837864
36047050300,395.9484958281453
36047050401,413.8905450974297
36047050402,398.54642689837107
36047050500,575.1767438068385
36047050600,758.552131979238
36047050700,646.3468312811617
36047050801,657.2199284362991
36047050803,727.1362531386528
36047050804,629.0930546224691
36047050900,647.3731518867971
36047051001,724.1280045267209
36047051002,669.2768383812376
36047051100,552.5232205365046
36047051200,644.0889775410902
36047051300,661.7929425713085
36047051400,692.7239181038995
36047051500,332.03680178650393
36047051601,623.882051153782
36047051602,627.9446061993874
36047051700,404.6806863122607
36047051800,480.2653259050791
36047051900,525.4527524421416
36047052000,495.8254772459455
36047052300,621.9707848148296
36047052500,672.0437167754147
36047052600,524.4417052395537
36047052700,779.2087837196601
36047052800,392.0715573101218
36047052900,669.1044198852826
36047053000,616.615633787741
36047053101,570.2879940242441
36047053102,917.1771121309404
36047053200,500.40524640561324
36047053300,729.7182396381763
36047053400,693.5380104420317
36047053500,623.6074480354407
36047053700,771.6394779265089
36047053800,680.1668126077747
36047053900,494.16340027875793
36047054200,608.6456597889267
36047054300,545.6882402745779
36047054400,524.2634056339757
36047054500,838.0940394083938
36047054600,658.1718494323566
36047054700,864.470703204173
36047054800,457.1158571204978
36047054900,571.156712178753
36047055000,581.4033498690875
36047055100,770.7913466808063
36047055200,713.3358515430874
36047055300,744.5303537277742
36047055400,1135.168540390303
36047055500,832.8023705610897
36047055600,514.8666648713428
36047055700,763.0173489737667
36047055800,457.4855065383238
36047056000,524.5925013682029
36047056100,562.4658045963055
36047056200,403.3715306294711
36047056301,679.3001499110436
36047056302,456.99548483291693
36047056400,552.0059342159204
36047056500,824.4795699457549
36047056600,620.028712497063
36047056800,464.39989997283885
36047056900,562.8603223124471
36047057000,807.912323163726
36047057100,496.07542538982653
36047057200,674.0066610120659
36047057300,571.7145636775767
36047057400,511.5595380648187
36047057500,577.3974909148238
36047057600,499.8871883888204
36047057800,576.4810952879692
36047057901,564.2305583853131
36047057902,519.5604217866224
36047058000,650.5187098541601
36047058200,587.6088113371964
36047058400,532.3254038879552
36047058600,467.9310472512217
36047058800,619.4565591035356
36047058901,841.64740045068
36047058902,464.00952863310334
36047059000,525.0284776527235
36047059100,466.35311324809607
36047059200,724.9738033058109
36047059300,598.4555465858457
36047059402,862.1008260885791
36047059403,560.4440336979791
36047059404,585.2411806083916
36047059600,727.8408065511255
36047059800,502.5530125944637
36047060000,831.6634991781938
36047060600,766.2717861518186
36047060800,631.0124325748957
36047061002,589.8830212407871
36047061003,510.43283694224453
36047061004,836.3360651523901
36047061200,349.96744294060306
36047061600,356.9370661953175
36047062000,407.9731175133417
36047062200,567.7214204612069
36047062600,508.13928396405527
36047062800,647.2719023182789
36047063200,469.1876730474188
36047063600,345.5351777494452
36047063800,459.3557554149747
36047064000,378.97549330435305
36047064200,484.52822175061004
36047064400,467.98383484837996
36047064600,447.35167052072353
36047064800,395.78742592921196
36047065000,522.6151650170544
36047065200,546.2068322123375
36047065400,393.932421716659
36047065600,406.878100218188
36047065800,431.65527871783434
36047066000,374.0200549269398
36047066200,751.86965333723
36047066600,486.73618788663254
36047067000,535.9791856442944
36047067200,559.8342641186872
36047067400,454.94567406101913
36047067600,479.789945278906
36047067800,453.18231619151766
36047068000,474.14934484376033
36047068200,476.68594778772876
36047068600,446.32434180156105
36047068800,433.53293130711336
36047069000,468.74768014143643
36047069200,456.7225290058372
36047069601,644.7181797333858
36047069602,617.9003277926008
36047069800,839.1550816371754
36047070000,412.74542772854926
36047070201,645.3828695477305
36047070202,435.4719457912092
36047070203,427.9117447633522
36047070601,381.8683790482759
36047070602,427.9117447633522
36047072000,605.376633056756
36047072200,782.5843473325434
36047072400,528.5617237365243
36047072600,566.8246983738036
36047072800,640.9629951215891
36047073000,452.56854638392025
36047073200,430.85958037024096
36047073400,347.16920253680956
36047073600,586.7298835174586
36047073800,665.2378044300192
36047074000,538.4804069470621
36047074200,499.7615670274085
36047074400,404.3400827046908
36047074600,572.8661603559862
36047074800,533.0641951372285
36047075000,501.596048888196
36047075200,369.27118959271166
36047075400,370.2824681478294
36047075600,426.43776098800714
36047075800,426.81673038404364
36047076000,512.9554826092598
36047076200,602.0472196414222
36047076400,560.6720325635895
36047076600,424.4911795689237
36047076800,674.9114846381923
36047077000,498.9176132124284
36047077200,497.6708711442494
36047077400,1233.0872670974418
36047077600,543.2057833010658
36047078000,401.77860076783435
36047078200,531.3487633267282
36047078400,463.3253192258329
36047078601,619.5177411860158
36047078602,474.71740819392846
36047078801,503.0131623926884
36047078802,455.7134740948472
36047079001,608.898995284755
36047079002,517.9036968645548
36047079201,735.741883473798
36047079202,494.7990887870229
36047079400,637.9149447490489
36047079601,539.2271065432246
36047079602,835.7739501847758
36047079801,476.1826668350999
36047079802,625.7054443332288
36047080000,477.8111728335225
36047080200,517.5360397035638
36047080400,581.4166625992051
36047080600,580.5300829710287
36047080800,567.3609201466362
36047081000,439.28509468953143
36047081400,506.5977347561791
36047081600,478.26708271207013
36047081800,607.2105229318147
36047082000,778.4222916064374
36047082200,707.9467418871218
36047082400,737.2985527299567
36047082600,591.796514310317
36047082800,649.6793292185579
36047083000,695.2454406517087
36047083200,434.8024465874735
36047083400,412.08091338679003
36047083600,528.3476328818704
36047083800,502.8490562596968
36047084000,524.4959066555892
36047084600,525.6961895745262
36047084800,445.7800388026132
36047085000,384.02918477638065
36047085200,427.9117447633522
36047085400,433.7392710616942
36047085600,554.5072057514964
36047085800,497.0532112081303
36047086000,504.93144622038943
36047086200,570.3709969874249
36047086400,592.4916621997004
36047086600,496.4688360270329
36047086800,849.483207269667
36047087000,512.5366528494627
36047087200,496.88700047061695
36047087401,547.0576792759366
36047087600,521.2312451285594
36047087800,610.7543816036963
