SA1_CODE_2021,Predicted_Weighted_Trips
10102100707,581.0447367973923
10102100710,671.135159862053
10104102401,527.958745196758
10104102402,519.0751101857805
10104102412,520.2796481624528
10105154002,569.5011111453343
10105154012,616.4763327899583
10105154018,515.8198502167509
10105154019,500.70675134044126
10105154020,709.0706499053833
10105154022,537.2842834261802
10105154023,610.1701640398217
10105154027,512.0561414692501
10201102801,442.7453182085618
10201102802,682.0048477927909
10201102803,907.8029362418695
10201102804,885.8175581298568
10201102805,464.4826716718265
10201102806,626.145068966306
10201102807,623.4717020479552
10201102808,499.8262667073746
10201102809,640.4999410179573
10201102810,550.8219495998054
10201102811,525.1189204585353
10201102812,562.8384803097643
10201102813,523.3809468951847
10201102814,610.656143202874
10201102815,515.536763277205
10201102816,461.9290390074912
10201102817,548.9158945381577
10201102818,562.7374254680543
10201102901,501.71982682943684
10201102902,526.824432170673
10201102903,617.9760355520531
10201102904,651.5865034884056
10201102905,533.5127229466999
10201102906,459.2617762302602
10201102907,514.6481272280129
10201102908,586.3182388716567
10201102909,592.5849537282966
10201102910,806.5357297905529
10201102911,628.5316845897077
10201102912,616.3983455379978
10201102913,504.352271734679
10201102914,489.87794254376075
10201102915,591.0058479619547
10201102916,543.2082581527243
10201102917,482.06935937343854
10201102918,540.1344908223208
10201102919,622.1226903527971
10201102920,383.79929414530176
10201102921,442.7453182085618
10201102922,644.846435431144
10201102923,509.17353610338455
10201102924,546.9314135847503
10201102925,686.392063039993
10201102926,507.2216203744454
10201102927,727.8389021428886
10201102928,903.0885385373259
10201103002,808.3498099744892
10201103003,493.5688117056234
10201103004,489.88466834214915
10201103005,501.28944126246984
10201103006,594.9681054725652
10201103007,542.0378431265156
10201103008,446.6450217403618
10201103009,623.2068871353491
10201103010,637.3291494949784
10201103011,770.7683111920054
10201103012,582.5927972112453
10201103013,521.0863755371839
10201103014,619.647593371922
10201103101,520.6517505171083
10201103102,583.9505379025478
10201103103,660.4132517318947
10201103104,706.6681450431437
10201103105,612.7645804966176
10201103106,513.3430706661763
10201103107,307.0533883704628
10201103108,450.5624070491169
10201103109,433.1859085983887
10201103110,639.6019075575408
10201103111,573.2610080691395
10201103112,351.79435535688
10201103113,542.2485074838675
10201103114,600.8026207245731
10201103115,584.6252467525184
10201103116,648.3011052522102
10201103117,550.0092695893342
10201103118,452.6775499109155
10201103119,630.2175755972138
10201103120,539.5716392605548
10201103121,474.2380292965299
10201103122,574.6579273472893
10201103123,608.8281377257948
10201103124,520.5672501793217
10201103125,500.03232275838104
10201103126,1299.4892464985403
10201103127,519.2157266990548
10201103128,624.8330423388198
10201103129,612.0327841003207
10201103130,490.8690012143738
10201103131,6654.1656742538935
10201103132,1509.2035100687342
10201103133,535.0112143185283
10201103134,603.7253411720015
10201103135,576.7743809746373
10201103136,536.4281319039953
10201103137,594.749647738842
10201103138,636.7868596612564
10201103201,567.5802385203527
10201103202,751.3303065215796
10201103203,724.3397390650977
10201103204,5579.26554318797
10201103205,542.1689716768798
10201103206,627.7020004827037
10201103207,604.0272280768219
10201103208,1474.1769320994688
10201103210,4304.442178637687
10201103211,642.994775645337
10201103212,676.2790205377571
10201103213,386.62248610735446
10201103214,669.0527581510194
10201103215,494.260282254183
10201103216,533.8815339791463
10201103217,446.477444998416
10201103218,561.2550123787561
10201103219,527.6529458353501
10201103220,542.6949299897857
10201103221,517.7716195642305
10201103223,499.454347896303
10201103224,6652.703295235512
10201103225,451.6681110180078
10201103226,497.6600601378826
10201103227,788.7317256311443
10201103228,1297.5736916050173
10201103229,622.782562319298
10201103230,726.8906603042406
10201103231,705.9249947996012
10201103232,644.3758685401147
10201103233,483.33625925704297
10201103234,770.7865320454238
10201103235,588.9021214696811
10201103236,715.2678250584888
10201103237,976.12957630786
10201103238,443.1987985553446
10201103239,682.8115995688732
10201103240,1286.1912987399385
10201103241,656.040339568491
10201103242,1650.611956083738
10201103243,731.7359419387006
10201103244,1859.1914714673705
10201103245,3643.360305303458
10201103246,481.84998527537226
10201103247,543.4650046085249
10201103248,595.3005992092421
10201103301,446.5699816682652
10201103302,626.2709860225418
10201103303,540.1382389905533
10201103304,491.9042545976962
10201103305,497.6794281447289
10201103306,484.5985401750164
10201103307,450.1170405136986
10201103308,536.4198934145318
10201103309,400.2699997776962
10201103310,510.85853064453585
10201103311,509.34087262828245
10201103312,463.5175112508645
10201103313,449.39510274213103
10201103314,498.16828956824804
10201103315,763.444601367187
10201103316,442.7453182085618
10201103317,662.7294792946384
10201103318,403.8373354499997
10201103319,514.5185795563677
10201103320,239.3842153363171
10201103401,569.3168177439602
10201103402,545.6471535323482
10201103403,720.8131569114737
10201103404,466.4585676737286
10201103405,550.8250137535045
10201103406,458.2689867244619
10201103408,653.344507569155
10201103409,525.845441742963
10201103410,573.9046512262765
10201103411,613.2893724665391
10201103412,662.3143126268067
10201103413,526.3701326555442
10201103414,1149.5125994074647
10201103415,777.7652206424477
10201103416,638.1469257277473
10201103417,646.7660612664964
10201103418,915.684840395201
10201103419,529.4967733344816
10201103420,469.13305919315644
10201103501,839.7266509646955
10201103502,530.518796490128
10201103503,653.4395132968041
10201103504,592.0267440527293
10201103505,541.2597520957382
10201103506,610.5581489141628
10201103507,520.5965678589426
10201103508,599.2831402491864
10201103509,561.1751218302587
10201103510,633.4984979442972
10201103511,685.2426076559142
10201103512,501.5778446409964
10201103513,496.5288538088946
10201103514,596.5733169089222
10201103515,601.1780224591192
10201103516,490.2507823876813
10201103517,1555.6310453223866
10201103601,421.37508764779255
10201103602,414.77811518421214
10201103603,668.900938355058
10201103604,491.53848997003706
10201103605,596.1741351546966
10201103606,889.9260554949473
10201103607,407.98985837904024
10201103608,691.1966531890979
10201103609,488.729921193153
10201103610,649.4086671782901
10201103611,523.791721532534
10201103612,477.018476929499
10201103613,552.0233113504261
10201103614,657.8388961713907
10201103615,484.7218498811505
10201103616,465.9572426710058
10201103617,504.68971162085836
10201103618,406.1328478923182
10201103619,621.7621648355774
10201103620,1313.42888593652
10201103621,656.0364945088352
10201103622,486.9230836991029
10201103701,879.3550701836178
10201103702,723.4593586007794
10201103703,775.3261441011617
10201103704,466.00333036609146
10201103705,619.2348826271487
10201103706,555.2603283643375
10201103707,571.1124423043357
10201103708,458.93914926667674
10201103709,954.0967766861055
10201103710,574.6707804424732
10201103711,550.1782888681145
10201103712,491.4207736038555
10201103713,803.3041002887726
10201103714,711.4757245074692
10201103801,599.4038753635965
10201103802,655.613819678999
10201103803,574.208816060373
10201103804,708.1404999388575
10201103805,500.8804283525904
10201103806,511.3745082503267
10201103807,580.5508726924538
10201103808,544.1198022524085
10201103809,700.3621961243507
10201103810,500.3388603555828
10201103811,589.6599662555229
10201103812,515.9543593018517
10201103813,650.515823188476
10201103814,676.7692989517615
