ORIGSA1_2021,DESTSA1_2021,Predicted_Prob,Predicted_Flow
11703164222,11801134515,0.0,0.0
11703133328,11703133309,0.0,0.0
11703164402,11703132909,0.0,0.0
11703132902,11703132906,0.0,0.0
11703164121,11703164110,0.0,0.0
11703133109,11703133133,0.0,0.0
11703164415,11703164412,0.0,0.0
11703133346,11703133348,0.3453077,206.23712
11703164827,11703164721,0.0,0.0
11703133107,11703133152,0.0,0.0
11703133614,11703133640,0.0,0.0
11703133602,11703133626,0.32047406,176.65372
11703133636,11703164232,0.0,0.0
11703164230,11703133023,0.0,0.0
11703164816,11703164708,0.0,0.0
11801134532,11703164726,0.0,0.0
11703164218,11703133635,0.0,0.0
11703133322,11703133352,0.0,0.0
11703133008,11703164203,0.0,0.0
11703164302,11703164310,0.0,0.0
11703163801,11703163805,0.0,0.0
11703164119,11703164117,0.0,0.0
11703132908,11801134536,0.0,0.0
11703164511,11703164125,0.045504898,39.30711
11801134514,11703133629,0.0,0.0
11703164222,11703133629,0.15308276,105.85846
11703164410,11703164408,0.0,0.0
11703164516,11703164525,0.0,0.0
11702132819,11703133022,0.0,0.0
11703164724,11703164710,0.36340517,226.11649
11703164733,11703164807,0.17422152,105.48899
11703132909,11703132908,0.0,0.0
11703163816,11703163819,0.0,0.0
11703164510,11703164105,0.0,0.0
11703133137,11703133105,0.04123658,19.12624
11802156427,11703164320,0.3253583,112.50955
11703164405,11703164416,0.0,0.0
11703133632,11802156412,0.0,0.0
11703164206,11703164711,0.0,0.0
11703164428,11703132916,0.0,0.0
11703164620,11703133127,0.2238748,796.5632
11703164122,11703164122,0.30752474,159.43045
11703164219,11703164728,0.0,0.0
11703164533,11703164509,0.0,0.0
11703164724,11703164707,0.0,0.0
11703164220,11703133626,0.0,0.0
11703133639,11703133637,0.09029037,79.450005
11703132903,11801134515,0.0,0.0
11703164423,11703164406,0.0,0.0
11703163807,11703163813,0.0,0.0
11703133602,11703133609,0.0,0.0
11703164205,11703164217,0.0,0.0
11703164117,11703164104,0.0,0.0
11801134536,11703132911,0.0,0.0
11703133033,11703133037,0.0,0.0
11703132905,11703133613,0.0,0.0
11703164129,11703164130,0.0,0.0
11703163819,11703163809,0.0,0.0
11703133129,11703164618,0.0,0.0
11801134701,11801134712,0.0,0.0
11703133613,11703133618,0.0,0.0
11703133010,11703133003,0.2480134,165.60066
11703164726,11802156412,0.0,0.0
11703133020,11703133016,0.0,0.0
11703133137,11703133136,0.0,0.0
11703164224,11703164227,0.0,0.0
11703164018,11703133028,0.0,0.0
11703164233,11703163903,0.0,0.0
11703164525,11703164611,0.0,0.0
11703164227,11703133623,0.0,0.0
11703164510,11703164521,0.0,0.0
11703133013,11703133014,0.0,0.0
11703133042,11703133010,0.0,0.0
11703133624,11703133618,0.0,0.0
11703163816,11703163816,0.25684953,125.65431
11703133615,11703164521,0.0,0.0
11703133029,11703164021,0.0,0.0
11703164727,11703164727,0.21000195,122.74556
11703164719,11703164713,0.0,0.0
11701163512,11701163503,0.0,0.0
11703164213,11703164707,0.0,0.0
11703164203,11703133040,0.047169775,469.9101
11703164716,11801134514,0.0,0.0
11703132910,11703132925,0.0,0.0
11703164708,11703164706,0.0,0.0
11703164817,11703164803,0.0,0.0
11703133114,11703133117,0.0,0.0
11703164521,11703164224,0.0,0.0
11703133630,11703133629,0.0,0.0
11703133121,11703133144,0.0,0.0
11801134535,11703133629,0.04729271,33.72486
11703164521,11703163915,0.0,0.0
11703164503,11703164125,0.0,0.0
11703133333,11703133349,0.27922618,145.11858
11703133311,11703133310,0.0,0.0
11703164532,11703164526,0.44051063,3713.1587
11703164509,11703132918,0.0,0.0
11703164811,11703164814,0.0,0.0
11703164223,11703164216,0.0,0.0
11703164008,11703133033,0.0,0.0
11703164615,11703133131,0.0,0.0
11703164509,11703164520,0.0,0.0
11703163808,11703164009,0.0,0.0
11703133119,11703133140,0.28139246,257.18494
11701163420,11703164316,0.0,0.0
11703163918,11703163803,0.0,0.0
11703132908,11703132905,0.0,0.0
11703133350,11703133349,0.09962484,68.16568
11703132908,11703132908,0.0,0.0
11703132903,11703132902,0.0,0.0
11703164816,11703164706,0.0,0.0
11703164702,11703133020,0.0,0.0
11703133023,11703133006,0.0,0.0
11703164716,11703164704,0.0,0.0
11703164003,11703133026,0.0,0.0
11703133145,11703133124,0.0,0.0
11703133625,11801134522,0.0,0.0
11703164707,11703164732,0.0,0.0
11703164729,11703164714,0.0,0.0
11703163819,11703164009,0.0,0.0
11703164503,11703164530,0.0,0.0
11703133131,11703133127,0.0,0.0
11703164727,11703164714,0.0,0.0
11802156427,11703164822,0.0,0.0
11703133333,11801165008,0.0,0.0
11703132915,11703164428,0.0,0.0
11703164705,11703164302,0.0,0.0
11703163909,11703163805,0.0,0.0
11703164615,11703164608,0.0,0.0
11703164406,11703164417,0.0,0.0
11703133110,11703133111,0.0,0.0
11703164725,11703133630,0.0,0.0
11703133036,11703133046,0.0,0.0
11703164516,11703164407,0.0,0.0
11703133619,11703133618,0.0,0.0
11703164509,11703164521,0.0,0.0
11703133121,11703133141,0.0,0.0
11802156424,11703164803,0.0,0.0
11703133315,11703133348,0.22465527,95.75687
11703164118,11703164106,0.0,0.0
11701163407,11703164320,0.0,0.0
11703133308,11703133308,0.0,0.0
11703164821,11703164827,0.20971408,134.14973
11802156427,11701163410,0.0,0.0
11703132925,11703132902,0.0,0.0
11703164821,11703164810,0.0,0.0
11703164807,11703164714,0.0,0.0
11703133612,11703133618,0.0,0.0
11703163819,11703133142,0.0,0.0
11703164418,11703164412,0.0,0.0
11703163902,11703163913,0.0,0.0
11703133317,11703133326,0.0,0.0
11801134524,11801134524,0.0024622083,1.4546038
11703164210,11703163906,0.0,0.0
11703133612,11703133603,0.0,0.0
11703164506,11703164524,0.6122632,1190.3306
11703164612,11703163819,0.0,0.0
11703133147,11703133111,0.0,0.0
11703163824,11703163814,0.157451,460.32208
11703133116,11703164109,0.0,0.0
11703163808,11703133112,0.0,0.0
11703164208,11703163901,0.0,0.0
11703164412,11703164421,0.0,0.0
11703164608,11703164617,0.0,0.0
11703133611,11703133614,0.0,0.0
11703164508,11703164515,0.0,0.0
11703164407,11703164407,0.0,0.0
11703133602,11703164229,0.0,0.0
11703164222,11802156424,0.14719829,101.789276
11703164024,11703164003,0.0,0.0
11703164017,11703163811,0.0,0.0
11703164516,11703164613,0.0,0.0
11703164507,11703132916,0.0,0.0
11703164412,11703164410,0.0,0.0
11703164222,11703164726,0.0,0.0
11703133139,11703133140,0.0,0.0
11703133128,11703164616,0.0,0.0
11703163816,11703164009,0.0,0.0
11703164227,11703133635,0.0,0.0
11703164722,11703164711,0.0,0.0
11703164810,11703164810,0.11585784,56.365414
11703133038,11703164705,0.0,0.0
11703133122,11703133141,0.3376468,296.54623
11703164203,11703133033,0.0,0.0
11703133109,11703163819,0.0,0.0
11703133027,11703164004,0.0,0.0
11703133601,11703133610,0.0,0.0
11703133009,11703164209,0.0,0.0
11703133642,11703132919,0.0,0.0
11703164013,11703163810,0.0,0.0
11703164621,11703164601,0.0,0.0
11703164116,11703164129,0.0,0.0
11801134522,11801134503,0.34796256,3134.617
11703164534,11703164509,0.0,0.0
11703133131,11703164612,0.0,0.0
11703164232,11703164228,0.0,0.0
11703133610,11703133633,0.0,0.0
11703133333,11703133336,0.0,0.0
11703164306,11703164315,0.0,0.0
11703133133,11703164015,0.0,0.0
11703133353,11703133348,0.0,0.0
11703133344,11703133316,0.0,0.0
11703164115,11703164407,0.0,0.0
11703133303,11703133301,0.0,0.0
11703133639,11703133636,0.0,0.0
11703164223,11703164722,0.0,0.0
11703132921,11703132907,0.0,0.0
11703164205,11703164716,0.0,0.0
11703132905,11703133603,0.0,0.0
11703133607,11703133633,0.14491326,75.46845
11703163814,11703163815,0.0,0.0
11703132926,11703132901,0.0,0.0
11703164206,11703164201,0.0,0.0
11703164509,11703132916,0.0,0.0
11703164009,11703164015,0.0,0.0
11703164108,11703164120,0.0,0.0
11801134509,11801134506,0.0,0.0
11703133619,11703133614,0.0,0.0
11703164103,11703164128,0.0,0.0
11703164417,11703164412,0.0,0.0
11701163542,11701163527,0.09336406,85.53257
11701163415,11701163407,0.08787733,37.85887
11703133333,11703133353,0.246054,127.878426
11703163801,11703163803,0.0,0.0
11703133110,11703133142,0.0,0.0
11703133149,12002167421,0.0,0.0
11703133611,11703133624,0.0011828542,0.56518376
11801134515,11801134510,0.0,0.0
11703133113,11703133109,0.0,0.0
11701163424,11703164305,0.0,0.0
11703164306,11703164321,0.0,0.0
11703163808,11703164011,0.0,0.0
11703164508,11703164523,0.0,0.0
11703133341,11703133308,0.1145162,53.77205
11703164536,11703164534,0.0,0.0
11703133632,11801134515,0.0,0.0
11703133112,11703133133,0.0,0.0
11703164117,11703164503,0.0,0.0
11703164703,11703164206,0.47736233,201.60182
11703164813,11703133034,0.0,0.0
11703133309,11703133351,0.0,0.0
11703164615,11703164619,0.0,0.0
11703164503,11703164119,0.0,0.0
11703133324,11703133327,0.0,0.0
11703133045,11703164207,0.0,0.0
11703133607,11703133638,0.0,0.0
11703133620,11703164521,0.0,0.0
11703133345,11703133303,0.27532917,176.3782
11703133305,11703133349,0.0,0.0
11703164521,11703133641,0.0,0.0
11703133003,11703133007,0.0,0.0
11703164710,11703164730,0.0,0.0
11703164731,11703164731,0.12583134,87.281815
11703164429,11703164405,0.0,0.0
11703164403,11703164408,0.0,0.0
11703164227,11703163901,0.0,0.0
11703164003,11703133005,0.0,0.0
11703164525,11703133637,0.0,0.0
11703133132,11703164615,0.0,0.0
11703133124,11703133145,0.0,0.0
11703164319,11703164311,0.04949844,98.39477
11703133609,11703133623,0.0,0.0
11703133351,11703132927,0.0,0.0
11703132922,11703132923,0.0,0.0
11703164717,11703164702,0.04556802,89.594025
11703132908,11703133622,0.0,0.0
11703163913,11703163910,0.0,0.0
11703164218,11703164230,0.0,0.0
11801134524,11801134525,0.08977312,53.035446
11703133042,11703133018,0.0,0.0
11703163902,11703164603,0.0,0.0
11703164516,11703164536,0.0,0.0
11703163904,11703163911,0.036018074,17.794514
11703133045,11703164009,0.0,0.0
11703164406,11703164404,0.5967905,2783.7656
11703133351,11703133334,0.0,0.0
11703133323,11703133310,0.0,0.0
11703164119,11703164407,0.0,0.0
11701163542,11703133038,0.0,0.0
11703164223,11703164726,0.0,0.0
11703164805,11703164813,0.0,0.0
11703164017,11703164009,0.0,0.0
11703133344,11703133348,0.0,0.0
