ORIGSA1_2021,DESTSA1_2021,Distance,index_x,dist_to_SA1_x,Origin_Node,dist_to_node_x,index_y,dist_to_SA1_y,Destination_Node,dist_to_node_y,shortest_path_m
11703133005,11703133006,0,44,0.0,3609.0,2.3865140974521633e-09,45,0.0,3353.0,0.0,1197.0595404320875
11703133006,11703133033,0,45,0.0,3353.0,0.0,66,0.0,3162.0,1.862645149230957e-09,1764.0581520777346
11703133008,11703133051,0,47,0.0,3900.0,0.0,83,0.0,1780.0,0.0,1301.5309317121528
11703133008,11703164203,0,47,0.0,3900.0,0.0,314,0.0,3492.0,0.0,1109.5116209200378
11703133009,11703164209,0,48,0.0,9454.0,0.0,320,0.0,3788.0,1.862645149230957e-09,1485.5661940210073
11703133010,11703133003,0,49,0.0,3670.0,0.0,42,0.0,3898.0,2.3865140974521633e-09,1340.4068935100938
11703133013,11703133014,0,50,0.0,1637.0,9.313225746154783e-10,51,0.0,2187.0,1.862645149230957e-09,1234.8651249583982
11703133013,11703133047,0,50,0.0,1637.0,9.313225746154783e-10,79,0.0,9436.0,0.0,1200.7277693243177
11703133017,11703133049,0,54,0.0,9233.0,0.0,81,0.0,3187.0,0.0,311.13532396470885
11703133018,11703133003,0,55,0.0,3309.0,0.0,42,0.0,3898.0,2.3865140974521633e-09,2503.3657376257133
11703133020,11701163527,0,56,0.0,1787.0,0.0,8,0.0,3163.0,0.0,2255.0571191137033
11703133020,11703133016,0,56,0.0,1787.0,0.0,53,0.0,9242.0,0.0,2218.2240602614224
11703133020,11703164317,0,56,0.0,1787.0,0.0,361,0.0,1958.0,0.0,1304.2272883394949
11703133023,11703133006,0,58,0.0,3437.0,0.0,45,0.0,3353.0,0.0,833.2226743685799
11703133023,11703133027,0,58,0.0,3437.0,0.0,60,0.0,3585.0,0.0,1813.0356478227664
11703133027,11703133048,0,60,0.0,3585.0,0.0,80,0.0,9311.0,0.0,1186.5792977615197
11703133027,11703164004,0,60,0.0,3585.0,0.0,263,0.0,9380.0,0.0,727.7465407889189
11703133028,11703133003,0,61,0.0,3035.0,0.0,42,0.0,3898.0,2.3865140974521633e-09,777.4218276049128
11703133029,11702132820,0,62,0.0,3136.0,0.0,13,0.0,3065.0,0.0,751.0087836210703
11703133029,11703164021,0,62,0.0,3136.0,0.0,276,0.0,9315.0,0.0,227.745189306966
11703133030,11703164010,0,63,0.0,3057.0,2.3865140974521633e-09,268,0.0,3398.0,0.0,529.594029353305
11703133032,11702132820,0,65,0.0,3185.0,9.331397911231848e-10,13,0.0,3065.0,0.0,972.5239913723284
11703133033,11703133027,0,66,0.0,3162.0,1.862645149230957e-09,60,0.0,3585.0,0.0,695.0552544893424
11703133033,11703133037,0,66,0.0,3162.0,1.862645149230957e-09,70,0.0,8468.0,0.0,274.3204619622491
11703133033,11703164001,0,66,0.0,3162.0,1.862645149230957e-09,260,0.0,2991.0,0.0,1136.0009047484707
11703133036,11703133046,0,69,0.0,3159.0,0.0,78,0.0,9262.0,0.0,433.2775861012123
11703133037,11703133046,0,70,0.0,8468.0,0.0,78,0.0,9262.0,0.0,315.0195763892149
11703133038,11703133020,0,71,0.0,1805.0,0.0,56,0.0,1787.0,0.0,1119.483982327693
11703133038,11703164705,0,71,0.0,1805.0,0.0,454,0.0,2175.0,0.0,2910.7466983282216
11703133040,11703133003,0,73,0.0,3937.0,0.0,42,0.0,3898.0,2.3865140974521633e-09,1045.6155608312945
11703133042,11703133010,0,74,0.0,2975.0,9.313225746154783e-10,49,0.0,3670.0,0.0,679.2439624709702
11703133042,11703133018,0,74,0.0,2975.0,9.313225746154783e-10,55,0.0,3309.0,0.0,1799.8319088458434
11703133042,11703133051,0,74,0.0,2975.0,9.313225746154783e-10,83,0.0,1780.0,0.0,1221.3588386928627
11703133045,11703133028,0,77,0.0,3624.0,2.444721758365631e-09,61,0.0,3035.0,0.0,946.9084435488144
11703133045,11703164009,0,77,0.0,3624.0,2.444721758365631e-09,267,0.0,4049.0,0.0,770.6659639957375
11703133045,11703164207,0,77,0.0,3624.0,2.444721758365631e-09,318,0.0,4004.0,0.0,2468.731662275054
11703133049,11703133031,0,81,0.0,3187.0,0.0,64,0.0,3151.0,0.0,560.5420419739096
11703133106,11703133152,0,88,0.0,2634.0,2.3283064365386963e-09,132,0.0,2624.0,0.0,643.4932283039116
11703133106,11703163814,0,88,0.0,2634.0,2.3283064365386963e-09,235,0.0,2533.0,0.0,231.14377791626617
11703133107,11703133152,0,89,0.0,2544.0,0.0,132,0.0,2624.0,0.0,556.8054830041198
11703133109,11703133133,0,91,0.0,7847.0,2.3865140974521633e-09,113,0.0,8768.0,0.0,737.511128145393
11703133109,11703163819,0,91,0.0,7847.0,2.3865140974521633e-09,239,0.0,8571.0,0.0,
11703133110,11703133109,0,92,0.0,7845.0,0.0,91,0.0,7847.0,2.3865140974521633e-09,407.3688078532471
11703133110,11703133111,0,92,0.0,7845.0,0.0,93,0.0,7949.0,2.3283064365386963e-09,549.5211069542877
11703133110,11703133142,0,92,0.0,7845.0,0.0,122,0.0,5826.0,0.0,320.01735722855244
11703133112,11703133133,0,94,0.0,2417.0,2.3283064365386963e-09,113,0.0,8768.0,0.0,1187.8053709128149
11703133113,11703133109,0,95,0.0,2559.0,0.0,91,0.0,7847.0,2.3865140974521633e-09,703.5881130871144
11703133114,11703133117,0,96,0.0,5207.0,0.0,99,0.0,9853.0,0.0,1087.1015868506277
11703133115,11703133117,0,97,0.0,6067.0,2.3283064365386963e-09,99,0.0,9853.0,0.0,328.08474283905304
11703133115,11703133137,0,97,0.0,6067.0,2.3283064365386963e-09,117,0.0,6046.0,0.0,326.50411116065357
11703133116,11703164109,0,98,0.0,7041.0,0.0,290,0.0,6081.0,0.0,2978.005085681549
11703133117,11703133117,0,99,0.0,9853.0,0.0,99,0.0,8357.0,0.0,341.24551689672893
11703133119,11703133140,0,101,0.0,5707.0,2.3283064365386963e-09,120,0.0,7841.0,0.0,825.252846001716
11703133121,11703133141,0,102,0.0,2546.0,0.0,121,0.0,6019.0,0.0,660.8903427016567
11703133121,11703133144,0,102,0.0,2546.0,0.0,124,0.0,7825.0,9.313225746154783e-10,681.9151819876728
11703133122,11703133141,0,103,0.0,5730.0,0.0,121,0.0,6019.0,0.0,460.2521646964691
11703133123,11703133131,0,104,0.0,9839.0,0.0,111,0.0,5748.0,0.0,707.5697128271402
11703133123,11703133133,0,104,0.0,9839.0,0.0,113,0.0,8768.0,0.0,1275.762917438768
11703133123,11703133139,0,104,0.0,9839.0,0.0,119,0.0,5755.0,2.936459671619683e-09,1034.410405139472
11703133124,11703133145,0,105,0.0,9173.0,0.0,125,0.0,7862.0,2.3283064365386963e-09,911.8415398348136
11703133125,11703133124,0,106,0.0,7954.0,0.0,105,0.0,9173.0,0.0,409.4774483684753
11703133127,11703133139,0,107,0.0,6958.0,0.0,119,0.0,5755.0,2.936459671619683e-09,1075.441495988035
11703133128,11703164118,0,108,0.0,10011.0,0.0,299,0.0,7403.0,0.0,1178.3114192876872
11703133128,11703164130,0,108,0.0,10011.0,0.0,311,0.0,5650.0,2.3865140974521633e-09,2730.5568737853014
11703133128,11703164616,0,108,0.0,10011.0,0.0,444,0.0,10079.0,0.0,961.1067633653496
11703133129,11703164618,0,109,0.0,7004.0,0.0,446,0.0,7756.0,0.0,755.6307721080435
11703133131,11703133127,0,111,0.0,5748.0,0.0,107,0.0,6958.0,0.0,688.0766014494552
11703133131,11703164612,0,111,0.0,5748.0,0.0,440,0.0,2933.0,0.0,749.8882691921551
11703133132,11703164615,0,112,0.0,2613.0,0.0,443,0.0,7030.0,0.0,489.6859248496386
11703133133,11703164015,0,113,0.0,8768.0,0.0,271,0.0,3889.0,0.0,2213.64523648002
11703133137,11703133105,0,117,0.0,6046.0,0.0,87,0.0,5466.0,0.0,852.386736479451
11703133137,11703133118,0,117,0.0,6046.0,0.0,100,0.0,5852.0,0.0,456.82639646693497
11703133137,11703133136,0,117,0.0,6046.0,0.0,116,0.0,6076.0,9.313225746154783e-10,386.9484420008758
11703133139,11703133127,0,119,0.0,5755.0,2.936459671619683e-09,107,0.0,6958.0,0.0,1075.441495988035
11703133139,11703133140,0,119,0.0,5755.0,2.936459671619683e-09,120,0.0,7841.0,0.0,740.6816724036643
11703133140,11703133146,0,120,0.0,7841.0,0.0,126,0.0,7874.0,0.0,618.2296100593475
11703133141,11703133111,0,121,0.0,6019.0,0.0,93,0.0,7949.0,2.3283064365386963e-09,452.6823681952041
11703133144,11703133144,0,124,0.0,7825.0,9.313225746154783e-10,124,0.0,7870.0,9.313225746154783e-10,10.351702444795109
11703133144,11703163820,0,124,0.0,7825.0,9.313225746154783e-10,240,0.0,9141.0,0.0,616.2887994289581
11703133145,11703133124,0,125,0.0,7862.0,2.3283064365386963e-09,105,0.0,9173.0,0.0,911.8415398348136
11703133145,11703133147,0,125,0.0,7862.0,2.3283064365386963e-09,127,0.0,10150.0,2.3283064365386963e-09,616.4245213249045
11703133147,11703133111,0,127,0.0,10150.0,2.3283064365386963e-09,93,0.0,7949.0,2.3283064365386963e-09,767.64312937416
11703133149,11703133138,0,129,0.0,7975.0,0.0,118,0.0,7889.0,0.0,670.8780360620141
11703133149,12002167421,0,129,0.0,7975.0,0.0,548,0.0,7897.0,9.331397911231848e-10,1121.830067179707
11703133303,11703133301,0,135,0.0,5232.0,0.0,133,0.0,5630.0,0.0,408.7025076542626
11703133304,11703133349,0,136,0.0,9868.0,0.0,179,0.0,5623.0,0.0,930.9026383683796
11703133305,11703133315,0,137,0.0,9955.0,0.0,146,0.0,6557.0,0.0,268.3719638251355
11703133305,11703133349,0,137,0.0,9955.0,0.0,179,0.0,5623.0,0.0,912.8503957344262
11703133305,11703133350,0,137,0.0,9955.0,0.0,180,0.0,6395.0,0.0,258.6127265601451
11703133308,11703133308,0,139,0.0,9984.0,0.0,139,0.0,6558.0,0.0,148.36407631595043
11703133309,11703133304,0,140,0.0,6856.0,2.444721758365631e-09,136,0.0,9868.0,0.0,661.4243558691742
11703133309,11703133314,0,140,0.0,6856.0,2.444721758365631e-09,145,0.0,8119.0,0.0,933.7306001343558
11703133309,11703133351,0,140,0.0,6856.0,2.444721758365631e-09,181,0.0,9459.0,0.0,508.00744556342175
11703133310,11703133310,0,141,0.0,6853.0,0.0,141,0.0,6852.0,0.0,6.4595305937555185
11703133311,11703133307,0,142,0.0,6858.0,2.444721758365631e-09,138,0.0,6889.0,0.0,656.1285811426268
11703133311,11703133310,0,142,0.0,6858.0,2.444721758365631e-09,141,0.0,6852.0,0.0,285.04811479262327
11703133315,11703133348,0,146,0.0,6557.0,0.0,178,0.0,9700.0,0.0,653.4156452179684
11703133317,11703133326,0,148,0.0,5398.0,0.0,157,0.0,6559.0,0.0,899.276621935826
11703133318,11703132918,0,149,0.0,5431.0,0.0,31,0.0,5523.0,0.0,402.0726154225569
11703133320,11703164428,0,151,0.0,5152.0,2.3283064365386963e-09,391,0.0,5487.0,0.0,1463.398655221116
11703133321,11703133321,0,152,0.0,9724.0,0.0,152,0.0,5247.0,0.0,242.91649942433205
