ORIGSA1_2021,DESTSA1_2021,Distance,Origin_Node,Destination_Node,shortest_path_weighted_m,shortest_path_m,walking_time_min,Predicted_Flow
11701163404,11701163404,0,8437,8436,288.8654054453046,288.8654054453046,3.4388738743488645,0.0
11701163404,11701163410,0,8437,8233,667.9682838964178,667.9682838964178,7.95200337971926,0.0
11701163404,11701163420,0,8437,8436,288.8654054453046,288.8654054453046,3.4388738743488645,0.0
11701163404,11703164303,0,8437,1264,1313.0183212407485,1313.0183212407485,15.631170490961292,115.056564
11701163404,11703164307,0,8437,8253,1512.4306521449532,1512.4306521449532,18.005126811249443,0.0
11701163404,11703164316,0,8437,1573,1317.5846065232415,1317.5846065232415,15.685531030038591,95.37064
11701163404,11703164318,0,8437,2875,2376.937180336855,2376.937180336855,28.296871194486368,0.0
11701163404,11703164319,0,8437,2867,2727.5747071510395,2727.5747071510395,32.47112746608381,0.0
11701163404,11703164320,0,8437,1871,1261.592437753695,1261.592437753695,15.018957592305895,107.51552
11701163404,11802156402,0,8437,8442,2530.4152865097617,2530.4152865097617,30.123991506068595,20.87755
11701163404,11802156427,0,8437,1238,1567.449846895755,1567.449846895755,18.660117224949467,0.0
11701163407,11701163407,0,8235,1172,40.477866581693974,40.477866581693974,0.4818793640677855,0.0
11701163407,11701163410,0,8235,8233,322.6529208985119,322.6529208985119,3.8411062011727615,0.0
11701163407,11701163415,0,8235,8228,539.1320312541695,539.1320312541695,6.418238467311542,0.0
11701163407,11701163424,0,8235,1172,40.477866581693974,40.477866581693974,0.4818793640677855,0.0
11701163407,11703133035,0,8235,1263,889.9406257105929,889.9406257105929,10.59453125845944,62.616753
11701163407,11703164303,0,8235,1264,428.8642724271158,428.8642724271158,5.10552705270376,171.52148
11701163407,11703164305,0,8235,1302,791.9776394516615,791.9776394516615,9.4283052315674,0.0
11701163407,11703164316,0,8235,1573,490.5762308108421,490.5762308108421,5.840193223938597,74.41133
11701163407,11703164320,0,8235,1871,868.2065214421386,868.2065214421386,10.335791921930223,56.12309
11701163410,11701163404,0,8233,8437,667.9682838964179,667.9682838964179,7.952003379719261,0.0
11701163410,11701163407,0,8233,8235,322.6529208985119,322.6529208985119,3.8411062011727615,0.0
11701163410,11701163410,0,8233,1173,18.85825823239887,18.85825823239887,0.2245030741952246,0.0
11701163410,11701163415,0,8233,8228,825.3939508446433,825.3939508446433,9.82611846243623,0.0
11701163410,11701163420,0,8233,8437,667.9682838964179,667.9682838964179,7.952003379719261,0.0
11701163410,11701163424,0,8233,8235,322.6529208985119,322.6529208985119,3.8411062011727615,0.0
11701163410,11703133035,0,8233,1263,1145.9931955468055,1145.9931955468055,13.642776137461974,19.251833
11701163410,11703164303,0,8233,1264,684.9168422633281,684.9168422633281,8.153771931706288,196.9512
11701163410,11703164305,0,8233,1302,1027.1860980151268,1027.1860980151268,12.22840592875151,0.0
11701163410,11703164307,0,8233,8253,884.3291731675325,884.3291731675325,10.527728251994436,43.32635
11701163410,11703164316,0,8233,1573,689.4831275458213,689.4831275458213,8.208132470783587,65.62774
11701163410,11703164320,0,8233,1871,633.4909587762746,633.4909587762746,7.541559033050889,13.073665
11701163410,11802156427,0,8233,1238,939.348367918334,939.348367918334,11.182718665694455,20.706367
11701163415,11701163407,0,8228,8235,539.1320312541695,539.1320312541695,6.418238467311542,0.0
11701163415,11701163410,0,8228,8233,825.3939508446433,825.3939508446433,9.82611846243623,0.0
11701163415,11701163415,0,8228,8241,14.203661875422403,14.203661875422403,0.1690912128026477,0.0
11701163415,11701163424,0,8228,8235,539.1320312541695,539.1320312541695,6.418238467311542,0.0
11701163415,11703133035,0,8228,1263,564.8325933739893,564.8325933739893,6.72419754016654,19.430676
11701163415,11703164303,0,8228,1264,322.3742943773899,322.3742943773899,3.837789218778452,218.32903
11701163415,11703164305,0,8228,1302,524.7467951380895,524.7467951380895,6.246985656405828,0.0
11701163415,11703164316,0,8228,1573,792.4999748725437,792.4999748725437,9.434523510387429,33.831585
11701163415,11703164320,0,8228,1871,1170.1302655038403,1170.1302655038403,13.930122208379052,113.54164
11701163420,11701163404,0,8437,8436,288.8654054453046,288.8654054453046,3.4388738743488645,0.0
11701163420,11701163410,0,8437,8233,667.9682838964178,667.9682838964178,7.95200337971926,0.0
11701163420,11701163420,0,8437,8436,288.8654054453046,288.8654054453046,3.4388738743488645,0.0
11701163420,11703164303,0,8437,1264,1313.0183212407485,1313.0183212407485,15.631170490961292,62.2837
11701163420,11703164307,0,8437,8253,1512.4306521449532,1512.4306521449532,18.005126811249443,157.22017
11701163420,11703164316,0,8437,1573,1317.5846065232415,1317.5846065232415,15.685531030038591,94.990685
11701163420,11703164318,0,8437,2875,2376.937180336855,2376.937180336855,28.296871194486368,150.84155
11701163420,11703164319,0,8437,2867,2727.5747071510395,2727.5747071510395,32.47112746608381,71.62203
11701163420,11703164320,0,8437,1871,1261.592437753695,1261.592437753695,15.018957592305895,0.0
11701163420,11802156402,0,8437,8442,2530.4152865097617,2530.4152865097617,30.123991506068595,12.199075
11701163420,11802156427,0,8437,1238,1567.449846895755,1567.449846895755,18.660117224949467,0.0
11701163424,11701163407,0,8235,1176,14.188805777777471,14.188805777777471,0.1689143544973508,0.0
11701163424,11701163410,0,8235,8233,322.6529208985119,322.6529208985119,3.8411062011727615,0.0
11701163424,11701163415,0,8235,8228,539.1320312541695,539.1320312541695,6.418238467311542,0.0
11701163424,11701163424,0,8235,1176,14.188805777777471,14.188805777777471,0.1689143544973508,51.66237
11701163424,11703133035,0,8235,1263,889.9406257105929,889.9406257105929,10.59453125845944,34.19651
11701163424,11703164303,0,8235,1264,428.8642724271158,428.8642724271158,5.10552705270376,187.94386
11701163424,11703164305,0,8235,1302,791.9776394516615,791.9776394516615,9.4283052315674,0.0
11701163424,11703164316,0,8235,1573,490.5762308108421,490.5762308108421,5.840193223938597,57.172638
11701163424,11703164320,0,8235,1871,868.2065214421386,868.2065214421386,10.335791921930223,57.652283
11701163503,11701163503,0,10155,7682,134.93085447968468,134.93085447968468,1.6063196961867223,0.0
11701163503,11701163512,0,10155,2841,1717.652541617178,1717.652541617178,20.448244543061644,296.44315
11701163503,11702132805,0,10155,10154,1845.1404755125775,1845.1404755125775,21.9659580418164,90.94627
11701163503,11702132815,0,10155,2734,1677.2877291558748,1677.2877291558748,19.967711061379465,0.0
11701163503,11702132819,0,10155,2811,1914.225138280659,1914.225138280659,22.78839450334118,0.0
11701163503,11702132820,0,10155,2734,1677.2877291558748,1677.2877291558748,19.967711061379465,0.0
11701163503,11703133018,0,10155,2940,1545.0293275462743,1545.0293275462743,18.39320628031279,151.81718
11701163503,11703133022,0,10155,2678,2175.613532505324,2175.613532505324,25.90016110125386,0.0
11701163512,11701163503,0,2841,10155,1717.6525416171785,1717.6525416171785,20.448244543061648,0.0
11701163512,11701163512,0,2841,2849,17.906026522831674,17.906026522831674,0.2131669824146627,0.0
11701163512,11702132805,0,2841,10154,1848.3447942425032,1848.3447942425032,22.004104693363136,40.16006
11701163512,11702132815,0,2841,2734,1641.9079902819803,1641.9079902819803,19.546523693833095,0.0
11701163512,11702132819,0,2841,2811,1878.8453994067645,1878.8453994067645,22.367207135794818,14.589082
11701163512,11702132820,0,2841,2734,1641.9079902819803,1641.9079902819803,19.546523693833095,0.0
11701163512,11703133015,0,2841,8688,2168.288675574827,2168.288675574827,25.812960423509843,0.0
11701163512,11703133016,0,2841,8690,2422.3758839010343,2422.3758839010343,28.83780814167898,85.767395
11701163512,11703133018,0,2841,2940,1509.64958867238,1509.64958867238,17.97201891276643,84.02588
11701163512,11703133020,0,2841,1385,1443.464982030428,1443.464982030428,17.184106928933666,100.05451
11701163512,11703133022,0,2841,2678,2140.23379363143,2140.23379363143,25.478973733707505,0.0
11701163512,11703133031,0,2841,8697,2323.1091849690993,2323.1091849690993,27.65606172582261,0.0
11701163512,11703133032,0,2841,2712,2460.808336241106,2460.808336241106,29.295337336203648,49.699715
11701163512,11703133049,0,2841,2838,2258.2046888719733,2258.2046888719733,26.88338915323778,0.0
11701163527,11701163527,0,2818,2890,7.703441126422055,7.703441126422055,0.0917076324574054,0.0
11701163527,11701163542,0,2818,1175,749.2234034834421,749.2234034834421,8.91932623194574,0.0
11701163527,11703133013,0,2818,2983,2162.4084505715896,2162.4084505715896,25.742957744899876,141.20232
11701163527,11703133018,0,2818,2940,1484.540805270018,1484.540805270018,17.673104824643072,0.0
11701163527,11703133020,0,2818,1385,1408.434260957028,1408.434260957028,16.767074535202717,85.973305
11701163527,11703133035,0,2818,1263,1225.9739320169404,1225.9739320169404,14.594927762106432,0.0
11701163527,11703133038,0,2818,1260,1201.0089790817676,1201.0089790817676,14.297725941449617,0.0
11701163527,11703133043,0,2818,1632,1714.41683956497,1714.41683956497,20.40972428053536,0.0
11701163527,11703164302,0,2818,1322,1929.7035323579264,1929.7035323579264,22.972661099499124,0.0
11701163527,11703164304,0,2818,1591,2165.047705425725,2165.047705425725,25.774377445544346,0.0
11701163527,11703164818,0,2818,1413,2603.738428212557,2603.738428212557,30.99688605014949,169.84297
11701163542,11701163527,0,1175,2818,749.2234034834422,749.2234034834422,8.91932623194574,0.0
11701163542,11701163542,0,1175,1959,19.69238849185718,19.69238849185718,0.2344331963316331,0.0
11701163542,11703133013,0,1175,2983,2270.10319878274,2270.10319878274,27.025038080746903,138.83757
11701163542,11703133018,0,1175,2940,1775.1507787274854,1775.1507787274854,21.1327473658034,0.0
11701163542,11703133020,0,1175,1385,1516.1290091681783,1516.1290091681783,18.04915487104974,76.66359
11701163542,11703133035,0,1175,1263,476.75052853349825,476.75052853349825,5.6756015301606935,0.0
11701163542,11703133038,0,1175,1260,451.78557559832547,451.78557559832547,5.378399709503875,0.0
11701163542,11703133043,0,1175,1632,965.1934360815278,965.1934360815278,11.490398048589617,0.0
11701163542,11703164302,0,1175,1322,1479.4162209777685,1479.4162209777685,17.612097868782957,0.0
11701163542,11703164303,0,1175,1264,941.374052620184,941.374052620184,11.2068339597641,0.0
11701163542,11703164304,0,1175,1591,1690.992542999279,1690.992542999279,20.130863607134277,0.0
11701163542,11703164305,0,1175,1302,1091.6665814098578,1091.6665814098578,12.996030731069736,0.0
11701163542,11703164818,0,1175,1413,2094.3458367743633,2094.3458367743633,24.932688533028134,222.59393
11702132805,11701163503,0,10154,10155,1845.1404755125775,1845.1404755125775,21.9659580418164,0.0
11702132805,11701163512,0,10154,2841,1848.3447942425028,1848.3447942425028,22.00410469336313,0.0
11702132805,11702132805,0,10154,7681,241.93509531220016,241.93509531220016,2.8801797060976213,50.359665
11702132805,11702132815,0,10154,2734,1760.545557747278,1760.545557747278,20.958875687467597,40.52919
11702132805,11702132819,0,10154,2811,1997.4829668720624,1997.4829668720624,23.779559129429312,0.0
11702132805,11702132820,0,10154,2734,1760.545557747278,1760.545557747278,20.958875687467597,0.0
11702132805,11703133015,0,10154,8688,2286.9262430401245,2286.9262430401245,27.22531241714434,0.0
11702132805,11703133018,0,10154,2940,1628.2871561376776,1628.2871561376776,19.384370906400925,45.65921
11702132805,11703133020,0,10154,1385,2324.809423408874,2324.809423408874,27.676302659629453,436.51657
11702132805,11703133022,0,10154,2678,2258.871361096727,2258.871361096727,26.89132572734199,0.0
11702132805,11703133031,0,10154,8697,2441.746752434397,2441.746752434397,29.06841371945711,0.0
11702132805,11703133032,0,10154,2712,2579.445903706403,2579.445903706403,30.707689329838136,0.0
11702132805,11703133049,0,10154,2838,2376.84225633727,2376.84225633727,28.295741146872267,0.0
11702132815,11701163503,0,2734,10155,1677.2877291558746,1677.2877291558746,19.96771106137946,0.0
11702132815,11701163512,0,2734,2841,1641.9079902819803,1641.9079902819803,19.546523693833095,0.0
11702132815,11702132805,0,2734,10154,1760.5455577472776,1760.5455577472776,20.95887568746759,89.548874
11702132815,11702132815,0,2734,8751,268.88523878709117,268.88523878709117,3.201014747465371,0.0
11702132815,11702132819,0,2734,2811,236.937409124784,236.937409124784,2.8206834419617146,0.0
11702132815,11702132820,0,2734,8751,268.88523878709117,268.88523878709117,3.201014747465371,15.0284815
11702132815,11703133013,0,2734,2983,2309.1798157794233,2309.1798157794233,27.490235902135996,165.4814
11702132815,11703133014,0,2734,3839,2324.906350882259,2324.906350882259,27.677456558122135,0.0
11702132815,11703133015,0,2734,8688,1332.5804794603332,1332.5804794603332,15.86405332690873,0.0
11702132815,11703133016,0,2734,8690,1585.220817294217,1585.220817294217,18.871676396359728,30.545288
11702132815,11703133018,0,2734,2940,1156.9447204024386,1156.9447204024386,13.773151433362363,0.0
11702132815,11703133020,0,2734,1385,1818.4523846677448,1818.4523846677448,21.64824267461601,0.0
11702132815,11703133022,0,2734,2678,1148.2640204665886,1148.2640204665886,13.66980976745939,3.7996755
11702132815,11703133031,0,2734,8697,681.2011946871183,681.2011946871183,8.109538031989505,18.993357
11702132815,11703133032,0,2734,2712,957.4971210959166,957.4971210959166,11.398775251141863,0.0
11702132815,11703133039,0,2734,8691,1892.8490589347075,1892.8490589347075,22.53391736827033,3.26006
11702132815,11703133049,0,2734,2838,1030.2931252260455,1030.2931252260455,12.265394347929114,33.312798
