ORIGSA1_2021,DESTSA1_2021,Hop,Network_Distance,DISTANCE,Population_origin,SA1_CODE_2021,Population_destination,SA1_CODE21,stations,SA1_CODE21_destination,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,SA1_CODE21_destination,Commercial,Education,Hospital/Medical,Industrial,Other,Parkland,Primary Production,Residential,Transport,Water,SA1_CODE21_origin,stations_origin,SA1_CODE21_origin,Edge Density (KM)_origin,Street Node Average_origin,Number of Links/Number of Nodes_origin,Intersection Count_origin,SA1_CODE21_origin,Commercial_origin,Education_origin,Hospital/Medical_origin,Industrial_origin,Other_origin,Parkland_origin,Primary Production_origin,Residential_origin,Transport_origin,Water_origin,SA1_CODE_2021_origin,Household median age,Weekly household income,SA1_CODE_2021_origin,Weighted_Trips_SA1
11701163404,11802156427,1,898.2948473025742,898.2948473025742,186,11802156427,0,11802156427,0,11802156427,6159017307.675389,2.212121212121212,0.4583333333333333,19.0,11802156427,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11701163404,1,11701163404,25370792240.02471,2.888888888888889,0.4736842105263157,7.0,11701163404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163404,59,396,11701163404,0.0
11701163407,11701163407,0,0.0,400.0,236,11701163407,236,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,447.0116891350829
11701163407,11701163410,1,195.2943685657145,195.2943685657145,236,11701163410,292,11701163410,1,11701163410,18375109950.13354,3.2857142857142856,0.4375,12.0,11701163410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11701163415,2,405.4940527890621,405.4940527890621,236,11701163415,200,11701163415,1,11701163415,5490900187.966319,3.333333333333333,0.5,6.0,11701163415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11701163424,1,134.1767842806183,134.1767842806183,236,11701163424,309,11701163424,2,11701163424,39468481658.9791,3.533333333333333,0.375,15.0,11701163424,0.0,17.61229314420804,0.0,0.0,0.0,0.0,0.0,82.38770685579196,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11703133035,2,938.4262128734384,938.4262128734384,236,11703133035,537,11703133035,1,11703133035,13882736219.918732,3.375,0.6153846153846154,8.0,11703133035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11703164303,1,400.99703795573976,400.99703795573976,236,11703164303,634,11703164303,10,11703164303,44869390165.164215,3.3222222222222224,0.3813559322033898,87.0,11703164303,10.7369448511469,12.88433382137628,0.0,0.0,0.0,0.0,0.0,76.37872132747681,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11703164305,2,756.4599671297458,756.4599671297458,236,11703164305,538,11703164305,3,11703164305,33539972134.1908,3.0,0.4416666666666666,45.0,11703164305,0.0,0.0,0.0,84.00247066090178,0.0,0.0,0.0,15.997529339098207,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11703164316,2,824.838672705915,824.838672705915,236,11703164316,521,11703164316,4,11703164316,50255792737.5086,3.3956043956043955,0.35,88.0,11703164316,0.0,0.0,0.0,0.0,0.0,16.881594372801874,0.0,83.11840562719813,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
11701163407,11703164320,2,628.8787251110201,628.8787251110201,236,11703164320,636,11703164320,3,11703164320,38323895277.23022,3.2195121951219514,0.3693693693693693,38.0,11703164320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,1,11701163407,21161099748.31743,3.375,0.5,8.0,11701163407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11701163407,44,2650,11701163407,0.0
