SA1_CODE_2021,Predicted_Weighted_Trips
10102100707,529.7133348800572
10102100710,602.1351326714077
10104102401,496.20031277868475
10104102402,476.1431694746316
10104102412,479.57234372406697
10105154002,530.2566581112983
10105154012,559.2909655879602
10105154018,479.0809537689948
10105154019,477.6098028333365
10105154020,656.6195603007192
10105154022,518.9164308434234
10105154023,589.3106005476395
10105154027,494.55074998333913
10201102801,345.8020124601822
10201102802,707.6446115337701
10201102803,906.9909955122505
10201102804,899.6165171510252
10201102805,478.30365156946107
10201102806,632.6670824217592
10201102807,644.2335263117791
10201102808,527.2298898280205
10201102809,694.5294531170666
10201102810,571.4622127164704
10201102811,542.027204857451
10201102812,583.0992988670808
10201102813,515.1635176592121
10201102814,599.3614908953915
10201102815,518.8737157304245
10201102816,454.6764456286094
10201102817,571.8514857839016
10201102818,577.1520921232094
10201102901,514.3276720004653
10201102902,512.748286241241
10201102903,581.9049750194728
10201102904,639.4590287040783
10201102905,553.9636836720961
10201102906,448.8484996723834
10201102907,499.47484481463357
10201102908,548.3136399114611
10201102909,556.4772734839161
10201102910,755.2406162769997
10201102911,614.1348297365693
10201102912,613.6616724669403
10201102913,537.6442922892414
10201102914,506.9113361125409
10201102915,585.9467453136656
10201102916,512.8365407436908
10201102917,488.41998541432383
10201102918,535.7647374837859
10201102919,539.9464400724164
10201102920,347.5790876151643
10201102921,345.8020124601822
10201102922,686.6796934188953
10201102923,514.4161983476154
10201102924,564.475145941447
10201102925,668.4483757180743
10201102926,510.86783473614065
10201102927,713.530843323715
10201102928,768.2594448383529
10201103002,815.3192304289335
10201103003,456.1930085873238
10201103004,477.8135615696278
10201103005,519.580857349945
10201103006,586.0432227836088
10201103007,529.622176034896
10201103008,439.4761420885593
10201103009,595.9402639798776
10201103010,580.4748676952402
10201103011,679.5031341590241
10201103012,589.3591142189455
10201103013,478.9519263632457
10201103014,644.3922163989652
10201103101,507.8225209495427
10201103102,512.3110668959731
10201103103,559.2909655879602
10201103104,595.2806334279181
10201103105,574.2012740789038
10201103106,473.62726097314203
10201103107,357.7008109158756
10201103108,485.0509396709586
10201103109,449.57793363114104
10201103110,592.640553882862
10201103111,542.8146361220611
10201103112,419.05375516388693
10201103113,598.7473599515671
10201103114,648.479688031292
10201103115,669.5346864560663
10201103116,682.4688877028391
10201103117,532.0253171523258
10201103118,563.125101263208
10201103119,687.4406032818301
10201103120,535.0796154516559
10201103121,465.2459862925649
10201103122,557.7153862956155
10201103123,540.823919376874
10201103124,518.5631919417217
10201103125,471.1246463630568
10201103126,1093.7515852615697
10201103127,540.2697684861427
10201103128,612.4047497245973
10201103129,639.9520767493394
10201103130,490.7206216633212
10201103131,5653.340011362916
10201103132,2546.3832824563333
10201103133,523.9968502390528
10201103134,566.9388493157415
10201103135,567.180717767364
10201103136,532.0253171523258
10201103137,528.1301767274339
10201103138,600.5422048705657
10201103201,544.4866333362778
10201103202,678.5732738486341
10201103203,746.7773056398082
10201103204,5112.357649206072
10201103205,475.6552931954463
10201103206,558.0523247243873
10201103207,573.711653904948
10201103208,1381.8932475456409
10201103210,3904.2296058137263
10201103211,631.1019903073385
10201103212,662.5918533021019
10201103213,384.3134989749033
10201103214,654.270217617365
10201103215,477.3632683604127
10201103216,511.916359261955
10201103217,434.5480786170905
10201103218,553.4913200473378
10201103219,498.6234057581504
10201103220,502.7296001031902
10201103221,470.522184400706
10201103223,411.4595980995515
10201103224,6143.825008682464
10201103225,448.120249210101
10201103226,460.0289528049226
10201103227,690.7407155203773
10201103228,1144.4728444844973
10201103229,556.5730546424563
10201103230,641.4287134609914
10201103231,647.5389743017051
10201103232,593.9591268012155
10201103233,487.50348187536326
10201103234,772.4733754454084
10201103235,514.9438314138142
10201103236,628.4111862939841
10201103237,940.1932597656446
10201103238,513.8006702770667
10201103239,648.9262699620903
10201103240,1112.864267927616
10201103241,612.3543390292886
10201103242,1466.5912376206445
10201103243,753.9557836333531
10201103244,1589.321046297064
10201103245,3293.276528812584
10201103246,507.6059651975691
10201103247,601.1581767741635
10201103248,531.5716603248474
10201103301,433.9177036781908
10201103302,631.3712321513146
10201103303,538.0588371708674
10201103304,500.15928355121565
10201103305,501.6135542238707
10201103306,492.14744834038464
10201103307,439.02583638485794
10201103308,538.9332488886937
10201103309,415.41646628544856
10201103310,526.0594539796518
10201103311,522.3877725864216
10201103312,476.6315461650747
10201103313,469.8396238099731
10201103314,496.0740830352408
10201103315,789.1480532642204
10201103316,345.8020124601822
10201103317,661.7445480480467
10201103318,421.4594962639077
10201103319,523.773397108768
10201103320,348.2924721213799
10201103401,538.0588371708674
10201103402,515.3832976275436
10201103403,682.5301668410456
10201103404,454.21056505581646
10201103405,552.3576402705639
10201103406,431.36660259891835
10201103408,664.2300784285536
10201103409,513.8006702770667
10201103410,550.0972420855468
10201103411,625.357381125309
10201103412,645.0000667685844
10201103413,536.7277869763053
10201103414,1037.9505304258937
10201103415,657.5822427109501
10201103416,563.3189687183054
10201103417,566.6812146933856
10201103418,767.3401789690417
10201103419,530.8442355872467
10201103420,503.07205335585644
10201103501,850.6881300185105
10201103502,486.00646723127164
10201103503,647.5389743017051
10201103504,593.6036675964089
10201103505,538.4737016828913
10201103506,615.2387512803684
10201103507,492.94724841055944
10201103508,636.9518014798796
10201103509,554.2000166356714
10201103510,605.2793268621384
10201103511,693.2832604406414
10201103512,484.4306691264003
10201103513,490.0087603132895
10201103514,579.67112518794
10201103515,539.1147622243349
10201103516,464.2131530045202
10201103517,1503.8744550941976
10201103601,438.2020192914593
10201103602,433.28824318945885
10201103603,673.549756932771
10201103604,492.14744834038464
10201103605,600.7444681731623
10201103606,861.5419841349263
10201103607,431.07296097210536
10201103608,610.0035984517001
10201103609,522.1650056309447
10201103610,615.501225521338
10201103611,505.2261657104755
10201103612,431.1826506961405
10201103613,529.9393221170684
10201103614,637.3856852539077
10201103615,492.2726789223992
10201103616,477.6098028333365
10201103617,515.7806784073107
10201103618,445.90587141647904
10201103619,600.0795199743586
10201103620,1210.2343345013123
10201103621,700.6682658574628
10201103622,470.722919404723
10201103701,824.9913385645601
10201103702,697.3207233319351
10201103703,728.6877596186288
10201103704,457.87220772903044
10201103705,590.6703862237084
10201103706,527.4548175733245
10201103707,584.1474333271793
10201103708,455.0644781165099
10201103709,907.8236932505605
10201103710,574.837546589863
10201103711,530.3003102994576
10201103712,502.04164403868623
10201103713,710.371626435102
10201103714,671.5367138042134
10201103801,597.5209852121841
10201103802,639.4590287040783
10201103803,540.5002593274738
10201103804,665.5435500551549
10201103805,486.92015639193545
10201103806,465.9218734658618
10201103807,577.1520921232094
10201103808,463.81731946149824
10201103809,684.8067307123177
10201103810,493.24243296971343
10201103811,590.6703862237084
10201103812,513.0553279730269
10201103813,648.7029405670412
10201103814,624.5576903472702
10201103815,497.0066992515181
10201103816,549.5335893590886
10201103817,506.5662693677139
10201103901,803.0878523570236
10201103902,538.9332488886937
10201103903,490.42694630067786
10201103904,650.1462473469836
10201103905,558.8600625135986
10201103906,625.4650179639006
10201103908,619.1366752315488
10201103909,752.6679410833508
10201103911,699.82987665595
10201103912,748.2428347082131
10201103913,764.8522013775098
10201103914,488.00351075810613
10201103915,591.3780034460963
10201103916,623.6516789407874
10201103917,521.3178001551199
10201103918,629.8093457118787
10201103919,573.5142097845142
10201103921,696.965981839108
10201103922,621.0995260956305
10201103923,534.9875331184352
10201103924,440.6418449465134
10201103925,567.0364311261707
10201103926,762.3013239310984
10201103927,640.9345277479724
10201103928,671.7126069662721
10201103929,540.823919376874
10201103931,530.8005386253459
10201103932,563.9431825451944
10201103933,519.7169492687725
10201103934,999.6204870964207
10201103935,414.9566527613229
10201103936,905.6109427106425
10201104001,515.4720056695276
10201104002,484.7207538240389
10201104003,473.7087819443189
10201104004,546.2577866913825
10201104005,483.5216514041653
10201104006,705.7725620324775
10201104007,496.4974453239052
10201104008,345.8020124601822
10201104009,932.9378274194735
10201104010,956.5817631052747
10201104011,592.1839567762182
10201104012,489.21372789927716
10201104013,635.3761098255166
10201104014,633.3160045856672
10201104015,505.0938683158457
10201104016,696.4863396543517
10201104017,726.5751587341176
10201104018,596.6541944631757
10201104019,571.120216955242
10201104020,593.9591268012155
10201104021,585.8459092102271
10201104022,1263.8686071968812
10201104023,676.6672427929656
10201104024,707.2632328631078
10201104025,496.4974453239052
10201104026,976.8975123800111
10201104027,498.53759720690914
10201104028,507.3895017935946
10201104029,562.0684161078136
10201104030,1073.3498406098931
10201104031,540.823919376874
10201104032,464.015194024212
10201104033,566.6970840064623
10201104034,619.6696893225403
10201104035,537.1858441739195
10201104036,526.5990294510266
10201104037,497.0066992515181
10201104038,525.6108842306879
10201104039,737.7074482111283
10201104040,560.5814834287296
10201104041,523.0566438384355
10201104042,601.8243202327153
10201104043,618.5578173563176
10201104044,523.0566438384355
10201104045,606.5216251162674
10201104046,592.237129196507
10201104047,697.7398026081403
10201104048,610.8897825779596
10201104049,625.6241721939864
10201104050,578.13762514691
10201104051,604.4012815146535
10201104052,547.0513639434521
10201104053,677.3208524073922
10201104054,540.7308485012143
10201104055,666.6800185116368
10201104056,536.4989048674611
10201104057,653.878664796996
10201104058,531.7069226910938
10201104101,603.8859098602303
10201104102,708.1902333434473
10201104103,534.8514361888044
10201104104,567.2783412083166
10201104105,537.8293874491974
10201104106,559.7682787783044
10201104107,475.28882682859046
10201104108,345.8020124601822
10201104109,618.238527792808
10201104110,669.5898043950215
10201104111,475.77632722580813
10201104112,662.3092977415979
10201104113,558.0493550335848
10201104114,687.4457364063444
10201104115,522.6106345791289
10201104116,547.5182315452402
10201104117,531.2058401856206
10201104118,356.1756964456711
10201104119,594.0613593558971
10201104120,552.1220929696619
10201104121,1099.6683773508282
10201104122,548.6871444543216
10201104123,559.7682787783044
10201104124,548.7364112794662
10201104125,599.8236221629559
10201104201,621.6295882896623
10201104202,688.6196045850738
10201104203,489.4224371225421
10201104204,582.9989527832673
10201104205,668.8486531103107
10201104206,345.8020124601822
10201104207,604.1435407319733
10201104208,613.8729381811931
10201104209,466.79780371413017
10201104210,564.5216150897452
10201104211,541.4718210299043
10201104212,345.8020124601822
10201104213,1228.4441085156138
10201104214,805.6941900660054
10201104215,553.0648852824027
10201104216,578.8302282467197
10201104217,626.7487460962711
10201104218,595.5345931014551
10201104219,537.7368319052357
10201104220,679.0964805142991
10201104221,631.5318892615686
10201104222,651.7000515941883
10201104223,526.2838823915502
10201104224,582.1053078342634
10201104225,572.5365581515478
10201104226,565.054124117101
10201104227,588.6539127116821
10201104228,638.0394472554578
10201104229,3693.6993462018654
10201104230,553.3960692272817
10201104231,917.680623584589
10201104232,517.0597811275425
10201104233,659.3719449515381
10201104301,686.3221040295765
10201104302,544.8575309690829
10201104303,622.2671893736928
10201104304,610.679543523232
10201104305,509.9092085691958
10201104306,346.8671642873963
10201104307,465.444470355641
10201104308,485.7156130889958
10201104309,507.08585081712783
10201104310,449.23155844239983
10201104311,552.3576402705639
10201104312,705.83593361637
10201104313,517.8109409100839
10201104314,435.7007098720097
10201104315,533.7559352571297
10201104316,518.3420559397844
10201104317,831.8117554244837
10201104318,2000.2799237636752
10201104319,547.0513639434521
10201104320,565.2951885039357
10201104321,564.475145941447
10201104322,540.3142449811196
10201104323,600.5916431584657
10201104324,583.8983295921748
10201104325,529.3963240416083
10201104326,674.0690902694422
10201104327,541.3786386562647
10201104328,457.0130260589365
10201104329,513.7122498566971
10201104330,721.56335532953
10202104401,502.6430849132642
10202104402,506.04722030326474
10202104403,471.8902817970973
10202104404,700.070807555468
10202104405,468.1165354029384
10202104406,453.7451618438149
10202104407,577.2514318423167
10202104408,500.0732106893813
10202104409,498.53759720690914
10202104410,470.56091908251034
10202104411,517.9427017588339
10202104412,1268.9650678218625
10202104413,356.1756964456711
10202104414,627.3915978643557
10202104415,549.6281753670959
10202104416,776.640684753672
10202104417,1093.3680878701296
10202104418,1335.682604760863
10202104419,616.1832625141836
10202104420,483.23228431818364
10202104421,484.2240885918557
10202104422,619.3498258286637
10202104423,611.9878710745262
10202104424,494.169725701333
10202104425,450.15357833633215
10202104426,581.3087307546119
10202104427,473.9108764201995
10202104428,521.8525121456122
10202104429,619.1922677465685
10202104430,482.7371442343398
10202104431,470.0400676187876
10202104432,479.7769397230141
10202104433,501.39964622264273
10202104434,693.521937532218
10202104435,505.44170618819504
10202104436,605.6417776351997
10202104437,500.58613225430736
10202104438,545.9308747041516
10202104439,540.9170062719418
10202104440,504.19134426699884
10202104441,531.2535373578775
10202104442,522.3877725864216
10202104443,458.8119620193756
10202104444,516.6614148691453
10202104445,537.8293874491974
10202104446,702.2850001749918
10202104447,633.8564926343648
